Month,wind thousand megawatthours,nuclear thousand megawatthours,natural gas thousand megawatthours,coal thousand megawatthours,geothermal thousand megawatthours,all solar thousand megawatthours,conventional hydroelectric thousand megawatthours
Feb-26,39707.24116,62384.185,132089.2321,55858.52454,1263.353,27738.60531,22462.024
Jan-26,44433.71775,73250.911,151629.6955,72502.66005,1416.87233,24036.06753,27909.38846
Dec-25,47047.65926,72521.112,148027.3956,66871.2752,1355.48904,20961.77552,23919.96173
Nov-25,40956.79915,63809.357,131565.3064,54489.78643,1263.21318,24579.51455,18414.54688
Oct-25,39533.58109,59222.248,143984.7618,54018.85287,1267.0627,32194.50879,16544.58103
Sep-25,25672.70784,65457.826,167875.5082,58301.93173,1283.59266,36325.43095,15284.79165
Aug-25,27306.83469,70705.131,192894.0077,69728.03343,1348.82405,41127.90884,20097.96822
Jul-25,31810.12879,70781.33,201990.9579,80260.24034,1285.006,43281.13838,19981.99708
Jun-25,35776.4113,66222.276,164793.2438,64501.54129,1277.59193,41457.68316,22159.23746
May-25,36872.98337,62144.818,135072.1688,48778.18686,1253.17364,39051.13949,24355.92802
Apr-25,45875.75116,57892.519,114642.1181,45526.36037,1306.18845,35538.17397,22839.22305
Mar-25,50591.46731,62456.661,118117.8036,49215.22407,1387.72032,31199.05986,22450.5158
Feb-25,39346.22162,61828.502,131374.315,62306.02395,1251.77461,22252.98967,19543.3146
Jan-25,43600.06416,71738.938,157000.7012,83153.25455,1389.18179,20850.53643,21431.14404
Dec-24,39527.39468,71200.098,147629.8801,62800.28918,1393.282,17585.34063,19533.13457
Nov-24,40133.13355,61904.051,137686.5999,44924.31891,1317.493,19234.01301,16723.42876
Oct-24,39591.52366,58773.349,146710.8173,46889.6963,1261.078,26563.94003,15352.21163
Sep-24,29178.43056,62660.468,169670.9073,54558.65201,1201.454,28048.76933,15911.34208
Aug-24,29289.62048,69760.288,202915.4108,68760.46706,1227.246,32740.81148,20490.58129
Jul-24,28304.45113,69850.752,205958.7375,71565.35794,1217.524,33262.11179,21383.98095
Jun-24,38661.38917,68192.147,169155.8618,61338.66076,1201.904,33011.56491,22396.56968
May-24,39255.64694,64972.965,143993.371,45812.36607,1246.269,30910.12132,24477.22317
Apr-24,47088.4599,57541.876,121531.8785,37245.8778,1279.704,27073.05048,20915.74336
Mar-24,45101.85185,63345.769,131137.3046,38505.27471,1359.485,23131.61929,23362.63545
Feb-24,40981.58242,64583.812,131844.7365,44137.43221,1302.748,17881.98207,20795.29923
Jan-24,34790.87225,69079.735,161666.641,75617.5277,1398.953,14308.63728,21553.90405
Dec-23,38038.36307,68854.346,148029.1567,56364.82369,1472.619,13606.42809,19027.64919
Nov-23,36445.37672,62257.644,135531.2766,51209.35616,1439.638,15384.30748,17025.68245
Oct-23,36019.86504,61435.632,140824.8457,50932.74264,1419.91,20196.38246,15672.55982
Sep-23,28353.33067,65559.71,166310.9934,59958.86512,1314.594,22186.88703,16915.72764
Aug-23,28394.17813,69744.023,199220.8298,78111.71337,1266.944,25247.59248,21293.08687
Jul-23,28004.56067,69887.588,199521.5421,78903.21656,1296.089,26614.48002,21977.73383
Jun-23,27546.97393,64819.195,161981.3133,57771.50047,1293.384,25239.12622,21572.23898
May-23,32227.18097,61155.193,137393.6013,43803.65904,1345.291,24824.27897,27651.29087
Apr-23,42745.50715,56662.458,120011.6321,40232.60466,1355.521,21803.49268,19819.60825
Mar-23,43583.75311,62820.443,133699.4115,50095.6027,1441.86,18217.54797,21331.4014
Feb-23,41424.26888,60806.857,125035.6538,46374.16021,1301.543,13821.53304,19961.14213
Jan-23,38357.97689,70870.08,138502.6554,61357.03269,1420.005,11794.64493,22754.21698
Dec-22,38679.53194,69094.147,140715.9586,73380.89229,1481.98443,10475.38025,20429.54086
Nov-22,41198.8465,62041.287,127523.4389,56376.96293,1396.71915,12437.74204,17898.14767
Oct-22,32744.63415,58945.383,133491.5239,54228.45722,1298.47185,16963.79209,14367.41841
Sep-22,27331.13356,63733.186,156947.8626,64998.31931,1329.38389,18830.44095,17026.14725
Aug-22,24718.4162,68896.917,188859.6688,85214.64958,1354.00976,20696.60022,21132.94901
Jul-22,29474.97824,68856.919,189042.1941,86414.97062,1341.4768,22203.12544,24567.4546
Jun-22,33767.53068,65715.42,155516.9961,73463.10379,1276.39022,22281.42383,25987.79518
May-22,42123.69758,63381.62449,127091.0234,62531.74438,1327.05142,21355.98976,23358.77956
Apr-22,46167.09477,55289.54,105505.8466,55329.13354,1282.07857,19072.62687,20065.83638
Mar-22,43030.54797,63153.701,112477.2675,61018.7735,1286.33731,16815.30739,24436.41649
Feb-22,37644.62607,61852.177,114945.4282,70966.37798,1242.88441,12743.58129,21320.56822
Jan-22,37416.32051,70576.875,134947.5306,87588.22693,1470.14119,11198.1255,24197.61344
Dec-21,39849.02762,70719.837,127586.4301,60024.59585,1484.42193,9061.0693,23561.87556
Nov-21,35751.09063,62749.318,122433.2592,57426.34728,1365.57197,11054.16073,19373.24966
Oct-21,32215.11144,58401.112,131851.6815,62572.1427,1318.81622,13088.99226,17132.93623
Sep-21,28997.8029,64520.031,138214.4087,78876.84017,1343.21112,15584.01297,17022.26652
Aug-21,27071.12204,69471.331,172716.0052,101854.5988,1336.95799,16891.19396,20328.14723
Jul-21,21715.55151,68831.593,170189.3631,101536.5367,1350.69258,17384.07738,22097.51226
Jun-21,26671.53368,66070.373,149375.5555,87264.60172,1277.29158,17303.9438,23454.07921
May-21,33786.50791,63394.115,114675.7916,63872.72048,1334.53707,17519.84666,23308.96396
Apr-21,36157.80676,57092.024,107416.2679,53956.13351,1287.75473,15502.04998,19388.82781
Mar-21,39205.24802,63708.238,107018.7113,61903.96388,1241.83848,13454.48883,21220.43408
Feb-21,26715.50092,62954.16,111182.9149,87470.49993,1287.25045,9269.54941,20136.50917
Jan-21,30060.4714,71732.463,126529.5985,81239.77891,1346.78288,8309.06463,24560.04066
Dec-20,32010.64517,69870.978,127863.1722,78587.62866,1402.81632,7580.39219,21507.84718
Nov-20,33129.4051,61759.977,109810.7803,61182.18639,1398.78914,8453.28574,20892.65917
Oct-20,28822.66268,59362.465,131412.5789,59804.58904,1287.56105,10395.32693,18810.4061
Sep-20,23185.97755,65727.317,141397.455,68406.74534,1288.00469,11453.82366,18678.80991
Aug-20,23029.3319,68982.187,173644.417,91145.41119,1323.0241,13513.9375,23283.5577
Jul-20,22866.19821,69385.44,181568.0636,89709.48262,1331.28691,15015.04895,26741.77947
Jun-20,30212.40523,67205.083,143055.4234,65283.16993,1274.12148,13923.04582,27999.3837
May-20,28377.50536,64337.97,117185.646,46526.62632,1362.26852,13920.70376,29976.16051
Apr-20,29752.22898,59170.016,110563.8151,40675.20198,1378.9473,11736.47773,23194.35466
Mar-20,29319.78293,63997.21,126186.5801,50730.62847,1465.16841,9773.50166,23823.01748
Feb-20,29110.49454,65910.574,128017.9285,56201.46779,1230.17768,8184.13587,25868.06177
Jan-20,28121.41138,74169.646,136083.78,65139.75937,1147.5314,6771.41485,24497.85718
Dec-19,26643.83983,73073.575,131973.4283,72580.73606,1182.89427,5499.8331,21478.18136
Nov-19,25184.35888,64125.425,117958.726,75549.33857,983.53162,6591.54593,20217.59733
Oct-19,27624.5193,62032.622,131113.378,66777.23093,1141.0516,8925.99468,18305.81291
Sep-19,24513.46786,66063.58,149938.1323,85706.69196,1367.61198,10022.19806,18525.75999
Aug-19,19978.03073,71910.684,175270.2476,94039.70636,1393.1524,11487.90701,22578.66752
Jul-19,22100.72207,72198.595,172281.645,100770.7854,1375.35966,11892.78073,24875.39844
Jun-19,22445.97049,68804.879,138087.4187,78539.50426,1328.26327,11575.14488,28077.76308
May-19,25779.38696,67123.546,117296.649,71884.62525,1341.83562,10710.6803,31982.04155
Apr-19,28915.30603,60580.927,104348.6321,59922.45969,1254.00337,9997.2463,27820.1768
Mar-19,25772.67842,65079.691,116059.1462,78351.61989,1422.49852,8812.88461,26333.98533
Feb-19,22622.75342,64714.894,112397.1592,79929.40881,1292.57815,5894.64724,22880.53778
Jan-19,24301.4495,73700.844,121808.2773,100904.7043,1389.93655,5483.40662,24797.80842
Dec-18,24306.28369,71657.288,109955.0966,100318.6001,1446.08137,4884.51281,22797.16131
Nov-18,22015.7339,63954.37,108265.012,92818.59372,1330.84363,5648.04713,21912.71643
Oct-18,21193.89801,59396.905,123280.4465,87263.62736,1273.09029,7361.46637,19548.19092
Sep-18,18519.67063,64724.753,142085.1857,96543.99239,1327.90769,8635.23462,19165.6208
Aug-18,19846.43699,72282.467,162000.634,115129.4557,1367.05504,9712.3077,22016.90536
Jul-18,16446.57439,72456.009,165075.4262,115376.3764,1369.6113,9901.29598,25099.52896
Jun-18,24702.85593,69687.556,131085.723,101503.4267,1299.83478,10473.77801,27597.48847
May-18,23953.12766,67320.248,115564.6383,85227.3,1382.62025,9860.22196,30444.28385
Apr-18,26430.85718,59133.155,98671.58527,73346.00643,1187.93664,8796.43825,28115.15452
Mar-18,26463.70391,67032.656,106742.0159,80625.66254,1366.75303,7490.19618,25860.604
Feb-18,23189.48924,64790.03,98675.2857,82050.18241,1274.09258,5662.7551,24902.25758
Jan-18,25598.8222,74649.04,110441.9821,119284.1147,1341.30742,4938.335,25064.07663
Dec-17,22200.68098,73699.572,111553.286,106545.3667,1380.90954,4506.85847,22247.84164
Nov-17,22614.8668,66617.853,95072.30676,90986.33924,1304.68441,4769.85448,19888.33402
Oct-17,24368.70291,65994.785,106895.1991,89775.52365,1214.12407,6639.60775,17698.17945
Sep-17,17911.77474,68097.918,118131.7052,98202.04611,1331.50304,7284.82088,19151.75538
Aug-17,13878.84827,72384.218,141307.8281,119488.3849,1362.99613,7848.17288,22033.85574
Jul-17,16119.99604,71314.219,147041.8025,127697.8203,1372.704,8123.75179,26598.24651
Jun-17,20141.74696,67010.782,117351.4929,107508.3222,1283.74953,8602.15011,30575.29559
May-17,23067.63856,61312.753,98074.11624,92776.54135,1301.85842,8208.21502,32607.11514
Apr-17,25377.94296,56743.352,88562.36959,81335.3131,1341.22069,7101.80352,29409.46563
Mar-17,25730.61672,65093.2,95214.19971,89364.62027,1387.18475,6486.54205,29613.19463
Feb-17,22091.10927,63560.371,82836.97484,86822.18986,1238.87247,4135.35386,23881.76459
Jan-17,20798.77101,73120.612,95661.24708,115332.8083,1406.96716,3570.01671,26627.88134
Dec-16,23145.52474,71662.429,96416.06528,118746.8419,1453.88363,3590.66861,22527.76456
Nov-16,19405.64211,65178.776,93950.8325,86940.46241,1363.84969,4023.9887,18808.26528
Oct-16,20335.38978,60733.343,102897.9861,99193.94367,1353.16742,4743.28769,17338.85654
Sep-16,16403.64017,65448.176,125683.4508,114137.7683,1326.67585,5370.44767,16367.68403
Aug-16,13589.32615,71526.405,154926.0252,135634.7333,1324.26364,5910.82805,19569.54914
Jul-16,17618.35712,70349.347,151716.164,136316.434,1311.2153,5945.07716,21455.32093
Jun-16,16303.4413,67175.324,131522.9971,116034.3841,1251.39266,5401.26493,23236.86739
May-16,18847.89867,66576.493,110518.5333,81694.51025,1341.84042,5304.17484,25486.38143
Apr-16,20799.30345,62731.845,98973.7993,72112.8619,1208.96984,4582.61853,25878.02878
Mar-16,21939.40933,66148.894,103933.1226,72172.52681,1315.15866,4142.59215,27389.8772
Feb-16,20138.2278,65638.141,98688.19908,92704.80797,1243.38381,3386.13613,24139.01548
Jan-16,18466.40151,72524.775,110043.7467,113459.3798,1332.00609,2465.40732,25614.54233
